command,mean,stddev,median,user,system,min,max,parameter_len,parameter_memset
./zig-out/bin/memset_bench glibc_avx2 500000000 1,1.6130562739999998,0.03306406026097119,1.6090507089,1.4422439599999999,0.1664114,1.5653740954,1.6523895034,1,glibc_avx2
./zig-out/bin/memset_bench skk64 500000000 1,1.2598156229,0.013362094619466774,1.2614786424,1.0855424599999997,0.1721558,1.2430681373999999,1.2794089914,1,skk64
./zig-out/bin/memset_bench rpkak 500000000 1,1.2417201302,0.017328344724599452,1.2437631349,1.0733217599999998,0.16297069999999997,1.2171038023999998,1.2634075643999998,1,rpkak
./zig-out/bin/memset_bench builtin 500000000 1,1.3670386455999997,0.02505777374023999,1.3631482074,1.20614966,0.15749619999999998,1.3395281773999999,1.4298904624,1,builtin
./zig-out/bin/memset_bench musl_asm 500000000 1,1.1295673565,0.015661165845786237,1.1209578433999998,0.9619043599999999,0.16597259999999997,1.1123764524,1.1585518444,1,musl_asm
./zig-out/bin/memset_bench glibc_avx2 500000000 2,0.8408125254000002,0.010687991072398638,0.8382962744000001,0.6777728599999999,0.16142700000000001,0.8314356344000001,0.8692249694,2,glibc_avx2
./zig-out/bin/memset_bench skk64 500000000 2,0.6562057138000001,0.007467134311359143,0.6545369039000001,0.49462185999999997,0.15918890000000002,0.6482938594000001,0.6666523604000001,2,skk64
./zig-out/bin/memset_bench rpkak 500000000 2,0.7050218731000001,0.008223903890491336,0.7023037109000001,0.5460920600000001,0.15688030000000003,0.6931775544000001,0.7209873004,2,rpkak
./zig-out/bin/memset_bench builtin 500000000 2,0.8419907417000001,0.010587566672285845,0.8375724709000001,0.68702266,0.15157189999999998,0.8327463054,0.8620261824000001,2,builtin
./zig-out/bin/memset_bench musl_asm 500000000 2,0.6593802606000001,0.005772128160772255,0.6581775404000001,0.49723886000000006,0.1605318,0.6516770744000001,0.6676003794,2,musl_asm
./zig-out/bin/memset_bench glibc_avx2 500000000 3,0.6238241694000001,0.004228327013390098,0.6228407389000001,0.46011356000000003,0.16208699999999998,0.6186413674000001,0.6306083544000001,3,glibc_avx2
